date,elapsed seconds,mouse clicks,mouse distance,scroll distance,keystrokes
2023-03-01,23,12,0.00,0.00,0
2023-03-12,7537,370,0.05,0.00,579
2023-03-13,46620,4138,0.54,0.04,17817
2023-03-14,84480,3520,0.49,0.04,6494
2023-03-15,80640,3805,0.52,0.02,15679
2023-03-16,84660,1560,0.20,0.01,11877
2023-03-17,77160,4800,0.55,0.04,14600
2023-03-18,53580,3248,0.42,0.02,11892
2023-03-19,17460,1072,0.13,0.01,1630
2023-03-20,82620,1739,0.23,0.01,2784
2023-03-21,86400,1776,0.27,0.03,3506
2023-03-22,86400,2181,0.31,0.01,5077
2023-03-23,86400,1136,0.14,0.01,2513
2023-03-24,86400,3411,0.40,0.03,12047
2023-03-25,86400,3508,0.49,0.02,6611
2023-03-26,81120,4350,0.63,0.02,11764
2023-03-27,8880,21,0.00,0.00,64
2023-03-28,37200,2442,0.31,0.01,3950
2023-03-29,81180,2902,0.44,0.02,14054
2023-03-30,77400,821,0.12,0.01,1277
2023-03-31,86400,2680,0.29,0.03,4072
2023-04-01,86400,3975,0.58,0.02,18449
2023-04-02,86400,4529,0.62,0.02,16268
2023-04-03,81960,2150,0.31,0.01,6802
2023-04-04,44580,8383,1.15,0.04,10185
2023-04-05,86400,4593,0.64,0.02,13161
2023-04-06,86400,3345,0.46,0.03,13407
2023-04-07,86400,5195,0.67,0.02,11384
2023-04-08,50460,12794,0.56,0.02,15928
2023-04-09,86400,3215,0.26,0.01,9930
2023-04-10,86400,3159,0.40,0.02,7759
2023-04-11,86400,4330,0.53,0.02,13657
2023-04-12,25800,1336,0.18,0.03,2428
2023-04-13,82860,3887,0.48,0.01,28411
2023-04-14,83067,4668,0.63,0.01,26878
2023-04-16,33513,5459,0.42,0.01,18509
2023-04-17,52860,1997,0.25,0.01,16135
2023-04-18,57240,4414,0.52,0.04,17771
2023-04-19,86400,2020,0.28,0.01,9211
2023-04-20,86400,4290,0.69,0.01,12545
2023-04-21,86400,6401,0.90,0.02,13983
2023-04-22,86400,7326,0.90,0.02,30216
2023-04-23,86400,3365,0.42,0.01,14306
2023-04-24,76140,4950,0.70,0.03,10251
2023-04-25,86400,1547,0.24,0.06,9055
2023-04-26,41700,3943,0.46,0.04,7688
2023-04-27,49920,1766,0.24,0.02,1519
2023-04-28,59640,4248,0.53,0.04,13915
2023-04-29,86400,8553,0.50,0.01,30671
2023-04-30,86400,11636,0.88,0.03,37497
2023-05-01,86400,2913,0.38,0.02,2256
2023-05-02,79860,955,0.13,0.01,718
2023-05-03,86400,7019,0.46,0.01,24699
2023-05-04,86400,2519,0.28,0.02,5053
2023-05-05,15180,1437,0.15,0.01,1316
2023-05-06,36120,5503,0.56,0.01,20574
2023-05-07,86400,10401,0.62,0.02,39643
2023-05-08,74220,4027,0.50,0.03,8321
2023-05-09,82680,7388,0.48,0.01,17398
2023-05-10,77040,4519,0.64,0.04,16740
2023-05-11,82680,5384,0.62,0.02,9207
2023-05-12,86340,7467,0.97,0.04,16619
2023-05-13,54120,5284,0.68,0.01,16690
2023-05-14,79320,5002,0.63,0.02,11446
2023-05-15,65760,4051,0.47,0.03,13059
2023-05-16,83700,3962,0.58,0.02,9011
2023-05-17,77940,6307,0.70,0.03,16880
2023-05-18,82800,1396,0.20,0.01,4589
2023-05-19,86400,146125,1.70,0.04,21923
2023-05-20,86340,45632,1.06,0.02,12011
2023-05-21,86400,51413,0.93,0.01,10327
2023-05-22,86400,6619,0.75,0.05,18760
2023-05-23,86400,2184,0.29,0.01,3993
2023-05-24,76260,5094,0.72,0.06,37644
2023-05-25,55260,4147,0.58,0.02,7897
2023-05-26,80580,7365,0.68,0.04,14266
2023-05-27,60660,3140,0.35,0.01,13369
2023-05-28,73500,3325,0.44,0.05,10270
2023-05-29,60540,3199,0.41,0.03,11799
2023-05-30,86400,2875,0.40,0.04,4597
2023-05-31,82500,2886,0.39,0.02,14920
2023-06-01,86400,1492,0.21,0.01,4220
2023-06-02,86400,4676,0.59,0.02,21784
2023-06-03,86400,4198,0.47,0.02,16630
2023-06-04,86400,3904,0.53,0.02,18537
2023-06-05,65280,4840,0.60,0.03,18365
2023-06-06,83280,7058,0.76,0.02,12977
2023-06-07,83760,8801,1.04,0.04,26120
2023-06-08,86400,1994,0.20,0.00,2167
2023-06-09,86400,8542,0.91,0.03,27059
2023-06-10,86400,6403,0.71,0.02,29891
2023-06-11,50460,1785,0.23,0.01,6024
2023-06-12,66180,10283,0.90,0.06,12976
2023-06-13,9060,599,0.07,0.01,2319
