単語,カナ,原型,品詞,細分類1,細分類2,細分類3,活用1,活用2,発音
親譲り,オヤユズリ,親譲り,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
無鉄砲,ムテッポウ,無鉄砲,名詞,一般,,,,,
で,デ,で,助詞,格助詞,一般,,,,
小,ショウ,小,接頭詞,名詞接続,,,,,
供,キョウ,供,名詞,サ変接続,,,,,
の,ノ,の,助詞,連体化,,,,,
時,トキ,時,名詞,非自立,副詞可能,,,,
から,カラ,から,助詞,格助詞,一般,,,,
損,ソン,損,名詞,一般,,,,,
ばかり,バカリ,ばかり,助詞,副助詞,,,,,
し,シ,する,動詞,自立,サ変・スル,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
いる,イル,いる,動詞,非自立,一段,基本形,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
小学校,ショウガッコウ,小学校,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
居る,イル,居る,動詞,自立,一段,基本形,,,
時分,ジブン,時分,名詞,一般,,,,,
学校,ガッコウ,学校,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
二,ニ,二,名詞,数,,,,,
階,カイ,階,名詞,接尾,助数詞,,,,
から,カラ,から,助詞,格助詞,一般,,,,
飛び降り,トビオリ,飛び降りる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
一,イチ,一,名詞,数,,,,,
週間,シュウカン,週間,名詞,接尾,助数詞,,,,
ほど,ホド,ほど,助詞,副助詞,,,,,
腰,コシ,腰,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
抜かし,ヌカシ,抜かす,動詞,自立,五段・サ行,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
事,コト,事,名詞,非自立,一般,,,,
が,ガ,が,助詞,格助詞,一般,,,,
ある,アル,ある,動詞,自立,五段・ラ行,基本形,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
なぜ,ナゼ,なぜ,副詞,助詞類接続,,,,,
そんな,ソンナ,そんな,連体詞,,,,,,
無闇,ムヤミ,無闇,名詞,形容動詞語幹,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
し,シ,する,動詞,自立,サ変・スル,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
と,ト,と,助詞,格助詞,引用,,,,
聞く,キク,聞く,動詞,自立,五段・カ行イ音便,基本形,,,
人,ヒト,人,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
ある,アル,ある,動詞,自立,五段・ラ行,基本形,,,
かも,カモ,かも,助詞,副助詞,,,,,
知れ,シレ,知れる,動詞,自立,一段,未然形,,,
ぬ,ヌ,ぬ,助動詞,特殊・ヌ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
別段,ベツダン,別段,副詞,助詞類接続,,,,,
深い,フカイ,深い,形容詞,自立,形容詞・アウオ段,基本形,,,
理由,リユウ,理由,名詞,一般,,,,,
で,デ,で,助詞,格助詞,一般,,,,
も,モ,も,助詞,係助詞,,,,,
ない,ナイ,ない,形容詞,自立,形容詞・アウオ段,基本形,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
新築,シンチク,新築,名詞,サ変接続,,,,,
の,ノ,の,助詞,連体化,,,,,
二,ニ,二,名詞,数,,,,,
階,カイ,階,名詞,接尾,助数詞,,,,
から,カラ,から,助詞,格助詞,一般,,,,
首,クビ,首,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
出し,ダシ,出す,動詞,自立,五段・サ行,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
い,イ,いる,動詞,非自立,一段,連用形,,,
たら,タラ,た,助動詞,特殊・タ,仮定形,,,,
、,、,、,記号,読点,,,,,
同級生,ドウキュウセイ,同級生,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
一,イチ,一,名詞,数,,,,,
人,ニン,人,名詞,接尾,助数詞,,,,
が,ガ,が,助詞,格助詞,一般,,,,
冗談,ジョウダン,冗談,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
、,、,、,記号,読点,,,,,
いくら,イクラ,いくら,副詞,一般,,,,,
威張っ,イバッ,威張る,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
も,モ,も,助詞,係助詞,,,,,
、,、,、,記号,読点,,,,,
そこ,ソコ,そこ,名詞,代名詞,一般,,,,
から,カラ,から,助詞,格助詞,一般,,,,
飛び降りる,トビオリル,飛び降りる,動詞,自立,一段,基本形,,,
事,コト,事,名詞,非自立,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
出来,デキ,出来る,動詞,自立,一段,未然形,,,
まい,マイ,まい,助動詞,不変化型,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
弱虫,ヨワムシ,弱虫,名詞,一般,,,,,
や,ヤ,や,助詞,並立助詞,,,,,
ー,ー,ー,名詞,一般,,,,,
い,イ,い,名詞,一般,,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
と,ト,と,助詞,格助詞,引用,,,,
囃し,ハヤシ,囃す,動詞,自立,五段・サ行,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
で,デ,だ,助動詞,特殊・ダ,連用形,,,,
ある,アル,ある,助動詞,五段・ラ行アル,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
