
date,ave_temperature,max_temperature,min_temperature,precipitation,daylight_hours,cloud_amount,ave_wind_speed,max_wind_speed,max_wind_direction
2019/3/1,8.8,13.1,6.5,1.5,2.4,8.8,2,5,北西
2019/3/2,10.3,14.7,6.4,,9.6,5.3,3.6,7.7,北西
2019/3/3,6.5,10.4,4.4,13.5,0,10,2.7,4.6,北北西
2019/3/4,7.3,9.5,5.4,27.5,0,10,3.5,5.5,北西
2019/3/5,9.6,15.8,4.3,0.5,9.1,6,2.4,6.5,南南東
2019/3/6,10.8,14.2,8,3,0,10,1.5,4,南南東
2019/3/7,8.2,10.3,4.3,28,0,9.3,2.6,6.9,北西
2019/3/8,7.3,12.5,3.9,,11.3,0,4.8,8.7,北西
2019/3/9,10,16.9,2.3,,11.3,2,3.6,8.3,南
2019/3/10,12.5,16.4,6.9,6.5,3.5,9.8,2,4.9,南西
2019/3/11,12.3,17.8,9.4,32,4.3,6.5,3.5,8.3,北西
2019/3/12,12.4,17.1,8.3,,8.5,2.5,3,5.8,北西
2019/3/13,11.7,19.1,5.6,,9.1,2,3.6,8.8,北西
2019/3/14,8.4,14.3,3.3,,8.8,4.3,2.4,5.2,南東
2019/3/15,9.7,15,4.1,,9.8,3.3,3.2,7,南東
2019/3/16,8.9,13.9,6.4,0,2.8,6.3,2.4,5.3,西北西
2019/3/17,9.1,15.3,3.5,0,9.1,5,2.7,5.5,北西
2019/3/18,9.7,14.5,4.1,,10.9,4,3.2,6.7,南
2019/3/19,13.2,19.2,6.3,,8.2,10,2.2,4.4,南東
2019/3/20,15,21.5,8.5,,10.9,2,2.7,4.9,南南東
2019/3/21,17.7,22.3,13.9,0,6,8.3,5.9,11.7,南南西
2019/3/22,16.2,23.9,8.7,0,5.5,9.8,3.7,6.4,北北西
2019/3/23,7.1,9,4.4,0,0,10,3.2,6.4,北西
2019/3/24,8.2,15.4,1.1,,10.7,0.8,2.5,5.2,北西
2019/3/25,9.9,15,3.9,,7.3,7.5,2.4,6.3,南東
2019/3/26,11.9,15.9,9.7,0,3.8,5.8,2.1,6.4,北西
